id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice;account_type
1;Tuna;compress primary cross-platform;../fake-data/blob/hipster.png;image/png;bluetooth Berkshire;../fake-data/blob/hipster.png;image/png;program Cotton Electronics;Idaho value-added;GOLD
2;schemas;empower payment;../fake-data/blob/hipster.png;image/png;Keyboard policy redundant;../fake-data/blob/hipster.png;image/png;user-facing Fully-configurable cross-media;synthesize Rustic array;FREE
3;Steel Administrator;generate;../fake-data/blob/hipster.png;image/png;Account Loan Loan;../fake-data/blob/hipster.png;image/png;content Malawi;Account;GOLD
4;Canada Djibouti payment;Kip Representative Kids;../fake-data/blob/hipster.png;image/png;state Concrete;../fake-data/blob/hipster.png;image/png;Washington Brazilian;deposit;FREE
5;content-based Guilder;Frozen Manager;../fake-data/blob/hipster.png;image/png;Liaison;../fake-data/blob/hipster.png;image/png;system Cheese Inverse;e-enable;SILVER
6;Uganda Beauty digital;Albania leading-edge Indiana;../fake-data/blob/hipster.png;image/png;Pizza Officer;../fake-data/blob/hipster.png;image/png;program;Directives panel deposit;GOLD
7;override withdrawal Concrete;systemic Chicken;../fake-data/blob/hipster.png;image/png;Barbados;../fake-data/blob/hipster.png;image/png;deposit Bedfordshire;Cloned;SILVER
8;Assurance Lira;Facilitator Card Intranet;../fake-data/blob/hipster.png;image/png;Fresh;../fake-data/blob/hipster.png;image/png;Administrator;connect African;SILVER
9;Representative Books PCI;Concrete;../fake-data/blob/hipster.png;image/png;mindshare Berkshire Account;../fake-data/blob/hipster.png;image/png;recontextualize grow Creative;Orchard Rubber;SILVER
10;invoice;IB;../fake-data/blob/hipster.png;image/png;Buckinghamshire Ball directional;../fake-data/blob/hipster.png;image/png;green online;Steel Dynamic Fields;FREE
