id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice;brief_master_advice;account_type
1;client-server Visionary Bedfordshire;capacitor;../fake-data/blob/hipster.png;image/png;Automotive;../fake-data/blob/hipster.png;image/png;Boliviano Avon;Loan firewall deposit;Nauru Identity Table;FREE
2;Squares hack Upgradable;reintermediate redundant;../fake-data/blob/hipster.png;image/png;Mountains Quality Automated;../fake-data/blob/hipster.png;image/png;Chips Unbranded revolutionary;Dong Wisconsin;Computer Security;SILVER
3;website Account French;fuchsia optimizing;../fake-data/blob/hipster.png;image/png;up;../fake-data/blob/hipster.png;image/png;Rubber;calculating;transitional Director;FREE
4;Director parse internet;Shirt microchip front-end;../fake-data/blob/hipster.png;image/png;driver;../fake-data/blob/hipster.png;image/png;platforms Refined Savings;turquoise;Consultant Product next;GOLD
5;Developer Tuna;Minnesota;../fake-data/blob/hipster.png;image/png;Security;../fake-data/blob/hipster.png;image/png;Plastic Towels;Tasty;Rubber index;SILVER
6;Avon frame Hawaii;Loan;../fake-data/blob/hipster.png;image/png;Plastic;../fake-data/blob/hipster.png;image/png;indexing navigating PCI;cyan Facilitator;Knoll applications Court;GOLD
7;application tan;De-engineered;../fake-data/blob/hipster.png;image/png;Global compressing;../fake-data/blob/hipster.png;image/png;Soap Jersey Arkansas;vortals Passage Senior;West hacking Iowa;GOLD
8;Brand black Concrete;Music Uruguayo input;../fake-data/blob/hipster.png;image/png;Diverse human-resource Handcrafted;../fake-data/blob/hipster.png;image/png;New;Arab Handmade;blue Customer;SILVER
9;Business-focused enhance connect;Distributed connect Lesotho;../fake-data/blob/hipster.png;image/png;Metrics;../fake-data/blob/hipster.png;image/png;National Tools Computers;maroon California;Ergonomic Industrial Gourde;SILVER
10;Virginia Account Account;Unbranded Euro mobile;../fake-data/blob/hipster.png;image/png;PNG driver;../fake-data/blob/hipster.png;image/png;world-class;Guilder methodologies Account;Cloned;FREE
