id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;description;advice;account_type
1;Table;open-source;../fake-data/blob/hipster.png;image/png;Integration;../fake-data/blob/hipster.png;image/png;Refined metrics e-commerce;Chief;SILVER
2;Berkshire Planner enterprise;Electronics;../fake-data/blob/hipster.png;image/png;Soap Salad killer;../fake-data/blob/hipster.png;image/png;Games;Washington;SILVER
3;Indiana Designer;front-end Verde Mexico;../fake-data/blob/hipster.png;image/png;Music Investment;../fake-data/blob/hipster.png;image/png;Investor compress;plug-and-play;FREE
4;real-time Rubber payment;throughput Berkshire Tonga;../fake-data/blob/hipster.png;image/png;Forks open-source;../fake-data/blob/hipster.png;image/png;Baby Borders;SQL Avon;FREE
5;Central;Saint Money Fresh;../fake-data/blob/hipster.png;image/png;National;../fake-data/blob/hipster.png;image/png;blue Chief;Nebraska;SILVER
6;Optimization;uniform Sleek;../fake-data/blob/hipster.png;image/png;Franc;../fake-data/blob/hipster.png;image/png;open global Agent;Customer 6th Chicken;GOLD
7;Pennsylvania Unbranded;e-services;../fake-data/blob/hipster.png;image/png;Granite frame Borders;../fake-data/blob/hipster.png;image/png;hacking;methodologies Human protocol;FREE
8;Tactics;South teal Games;../fake-data/blob/hipster.png;image/png;PNG Personal;../fake-data/blob/hipster.png;image/png;circuit black interface;moratorium;FREE
9;Applications;turquoise Berkshire hack;../fake-data/blob/hipster.png;image/png;streamline Practical Administrator;../fake-data/blob/hipster.png;image/png;circuit Licensed quantifying;Loan Security;FREE
10;Front-line;Buckinghamshire Compatible Fish;../fake-data/blob/hipster.png;image/png;Human magenta;../fake-data/blob/hipster.png;image/png;Designer Knoll;green Architect Web;SILVER
