id;title;photo_url;photo;photo_content_type;code;video;video_content_type;video_url;master_description;account_type
1;Via collaborative Manager;intranet Hat Computer;../fake-data/blob/hipster.png;image/png;back-end Music turquoise;../fake-data/blob/hipster.png;image/png;Customer bus;back-end teal;FREE
2;Incredible Managed web-readiness;digital;../fake-data/blob/hipster.png;image/png;Human RAM;../fake-data/blob/hipster.png;image/png;Ball capability Concrete;payment;SILVER
3;info-mediaries Somoni;Colon holistic portal;../fake-data/blob/hipster.png;image/png;deposit salmon granular;../fake-data/blob/hipster.png;image/png;wireless haptic Islands;monetize synthesizing Program;SILVER
4;Executive Keyboard SMS;quantify action-items;../fake-data/blob/hipster.png;image/png;Administrator vortals Sleek;../fake-data/blob/hipster.png;image/png;Persistent red;Gorgeous;FREE
5;Soap Iraq;Practical;../fake-data/blob/hipster.png;image/png;incubate Paradigm payment;../fake-data/blob/hipster.png;image/png;Consultant;Borders integrated;SILVER
6;Chips;Tools copying lime;../fake-data/blob/hipster.png;image/png;North;../fake-data/blob/hipster.png;image/png;auxiliary;Triple-buffered needs-based;GOLD
7;Automotive Togo generating;holistic Handmade;../fake-data/blob/hipster.png;image/png;Island deposit;../fake-data/blob/hipster.png;image/png;Kwanza;indigo Mozambique Market;GOLD
8;Infrastructure;cross-platform navigating;../fake-data/blob/hipster.png;image/png;Grocery;../fake-data/blob/hipster.png;image/png;open Market;lime Interactions;FREE
9;Vermont;bluetooth Granite;../fake-data/blob/hipster.png;image/png;multimedia Facilitator Soap;../fake-data/blob/hipster.png;image/png;Movies Fresh;Games Director;GOLD
10;grow Sleek Architect;Granite convergence Ergonomic;../fake-data/blob/hipster.png;image/png;Organic;../fake-data/blob/hipster.png;image/png;bus;Account;GOLD
